aldex.all.uniprot bg
P31378 red
P22336 red
P38194 red
P38042 red
P38041 red
P38068 red
P38227 red
P38242 red
P38247 red
P38131 red
P38310 red
Q96VH4 red
P11710 red
P25380 red
P25583 red
P25375 red
P25591 red
P08679 red
Q12361 red
Q07748 red
Q12185 red
P15732 red
P38953 red
P38957 red
P52490 red
Q03868 red
P52892 red
Q12379 red
Q04119 red
Q04121 red
Q03290 red
P32474 red
P56508 red
P32617 red
P39979 red
P39976 red
Q3E7X8 red
P40012 red
P40029 red
P39955 red
P40054 red
P0CX94 red
P43549 red
P43534 red
P43545 red
P0CX99 red
P39692 red
P43613 red
P53008 red
P11154 red
P22855 red
P32863 red
P13586 red
P45820 red
P32608 red
P40357 red
P53231 red
P53243 red
P26263 red
P53257 red
P53264 red
P48238 red
Q3E744 red
P53297 red
P46950 red
P50079 red
P29056 red
P21957 red
P38742 red
P38721 red
Q07074 red
P38819 red
P38843 red
P38866 red
P38900 red
P40543 red
P39014 red
P40523 red
P40508 red
P40476 red
P40573 red
P32375 red
Q04895 red
P40583 red
P40586 red
P47034 red
Q8TGN3 red
P32447 red
P46993 red
P09119 red
P40885 red
P08536 red
P47096 red
P06779 red
P47125 red
P47169 red
P32858 red
P20457 red
P14742 red
P34252 red
P26793 red
P36005 red
P06783 red
P19145 red
P36150 red
P36156 red
P23900 red
Q12177 red
Q12390 red
Q12372 red
Q12110 red
Q12325 red
Q12259 red
Q12367 red
Q12524 red
P0CZ17 red
P0CX77 red
P0CX78 red
P0CX79 red
P80667 red
Q05790 red
Q05979 red
P39931 red
Q06147 red
Q06216 red
Q05902 red
Q06159 red
Q06169 red
Q06143 red
Q06485 red
Q06696 red
Q04969 red
Q04636 red
Q04201 red
Q04359 red
Q04212 red
P07249 red
P04710 red
P42933 red
P28519 red
Q3E846 red
Q04018 red
Q04814 red
Q03508 red
P39113 red
P32843 red
P53904 red
P53870 red
P08465 red
P53835 red
P42883 red
P53824 red
Q08218 red
P41912 red
Q12322 red
Q12512 red
P54862 red
P25036 red
Q12289 red
Q12219 red
P41734 red
P39083 red
Q99297 red
Q12276 red
P51533 red
P15380 red
Q08907 red
Q03028 red
P22216 red
Q08968 red
P32867 red
Q12188 red
Q12531 red
Q12432 red
Q12350 red
Q06810 red
P30283 red
Q06508 red
Q06510 red
Q06523 red
P18408 red
P32471 blue
P00549 blue
P39713 blue
O13527 blue
P35842 blue
P33200 blue
Q12490 blue
Q12491 blue
Q12193 blue
P38219 blue
P38074 blue
P38079 blue
P27654 blue
P38084 blue
P38085 blue
P18238 blue
P24031 blue
P00635 blue
P38330 blue
P38143 blue
P38361 blue
P25384 blue
P25376 blue
P25379 blue
P09007 blue
P25619 blue
P32903 blue
Q00055 blue
Q12140 blue
Q12459 blue
Q07351 blue
Q12175 blue
P48570 blue
P09932 blue
Q07738 blue
P32568 blue
P48015 blue
Q12117 blue
Q12472 blue
P11353 blue
Q12355 blue
P38954 blue
Q01589 blue
P38966 blue
Q03855 blue
Q2V2P9 blue
Q7LHD1 blue
Q99231 blue
Q03494 blue
Q12151 blue
Q07793 blue
Q07791 blue
P35198 blue
Q05637 blue
P0C2I2 blue
P39004 blue
P39003 blue
P32466 blue
Q06338 blue
P0C2I3 blue
Q12359 blue
Q04178 blue
Q04182 blue
P34165 blue
P11491 blue
P32623 blue
P39980 blue
P39106 blue
P10863 blue
P40025 blue
P40026 blue
P40030 blue
P40035 blue
P00498 blue
P17064 blue
P40043 blue
P40046 blue
P40077 blue
P39939 blue
Q03612 blue
Q03619 blue
P0CX63 blue
D6VTK4 blue
P23337 blue
P43623 blue
P53189 blue
P53032 blue
P07244 blue
P32804 blue
Q12141 blue
P53222 blue
Q12269 blue
P32338 blue
P35180 blue
P24868 blue
P32582 blue
P05374 blue
Q12316 blue
P0CX64 blue
P53296 blue
P49723 blue
P53303 blue
P17442 blue
P39676 blue
P53049 blue
P23180 blue
P38735 blue
P38731 blue
P38724 blue
Q00772 blue
P38777 blue
P32467 blue
P18562 blue
P38839 blue
P38844 blue
P00925 blue
O13535 blue
P38693 blue
P38697 blue
P40552 blue
P12630 blue
P40528 blue
P40185 blue
P40522 blue
P40495 blue
P40489 blue
P23250 blue
P40474 blue
P40442 blue
P47075 blue
P47072 blue
P47031 blue
P32477 blue
P46956 blue
P39533 blue
P40896 blue
P47098 blue
P47100 blue
P0CS90 blue
P47120 blue
P47175 blue
P47176 blue
P47178 blue
P36093 blue
P35735 blue
P33749 blue
P28319 blue
P14064 blue
P07149 blue
P23501 blue
P36143 blue
Q02046 blue
P0CD90 blue
P0CD98 blue
Q12088 blue
P37291 blue
P52893 blue
P47977 blue
P0C2I5 blue
P32791 blue
P0C2I6 blue
Q01662 blue
P27472 blue
P23776 blue
Q06177 blue
Q06139 blue
P35817 blue
P0C2J3 blue
Q06689 blue
P50095 blue
P25087 blue
P15274 blue
Q03434 blue
Q04711 blue
P12683 blue
P25297 blue
Q03674 blue
P23585 blue
P54781 blue
Q04214 blue
Q04670 blue
P32488 blue
P37012 blue
P38009 blue
P40215 blue
P18899 blue
Q04329 blue
Q03516 blue
Q03529 blue
Q03533 blue
P04046 blue
P40988 blue
P53970 blue
P53960 blue
Q99337 blue
P53912 blue
P53909 blue
P53907 blue
P38616 blue
P40152 blue
P80210 blue
Q01080 blue
Q12112 blue
P48560 blue
P42835 blue
Q3E841 blue
P38999 blue
P53753 blue
Q12442 blue
P38967 blue
P89113 blue
Q12273 blue
Q12366 blue
Q08245 blue
Q08269 blue
Q12471 blue
P50861 blue
Q12333 blue
Q05164 blue
Q08299 blue
Q12398 blue
Q08417 blue
Q99252 blue
Q12189 blue
Q12166 blue
Q92393 blue
P33302 blue
P28006 blue
Q12113 blue
P18851 blue
Q12256 blue
P22082 blue
Q08777 blue
P46669 blue
Q12501 blue
Q02732 blue
Q02725 blue
P33300 blue
P54115 blue
P07261 blue
Q02891 blue
Q12254 blue
Q12414 blue
Q12286 blue
P38431 blue
P49573 blue
P0C2I9 blue
Q12207 blue
P0C2J1 blue
P0C2J0 blue
P06738 blue
