aldex.all.uniprot bg
P31378 pink
P22336 pink
P38194 pink
P38042 pink
P38041 pink
P38068 pink
P38227 pink
P38242 pink
P38247 pink
P38131 pink
P38310 pink
Q96VH4 pink
P11710 pink
P25380 pink
P25583 pink
P25375 pink
P25591 pink
P08679 pink
Q12361 pink
Q07748 pink
Q12185 pink
P15732 pink
P38953 pink
P38957 pink
P52490 pink
Q03868 pink
P52892 pink
Q12379 pink
Q04119 pink
Q04121 pink
Q03290 pink
P32474 pink
P56508 pink
P32617 pink
P39979 pink
P39976 pink
Q3E7X8 pink
P40012 pink
P40029 pink
P39955 pink
P40054 pink
P0CX94 pink
P43549 pink
P43534 pink
P43545 pink
P0CX99 pink
P39692 pink
P43613 pink
P53008 pink
P11154 pink
P22855 pink
P32863 pink
P13586 pink
P45820 pink
P32608 pink
P40357 pink
P53231 pink
P53243 pink
P26263 pink
P53257 pink
P53264 pink
P48238 pink
Q3E744 pink
P53297 pink
P46950 pink
P50079 pink
P29056 pink
P21957 pink
P38742 pink
P38721 pink
Q07074 pink
P38819 pink
P38843 pink
P38866 pink
P38900 pink
P40543 pink
P39014 pink
P40523 pink
P40508 pink
P40476 pink
P40573 pink
P32375 pink
Q04895 pink
P40583 pink
P40586 pink
P47034 pink
Q8TGN3 pink
P32447 pink
P46993 pink
P09119 pink
P40885 pink
P08536 pink
P47096 pink
P06779 pink
P47125 pink
P47169 pink
P32858 pink
P20457 pink
P14742 pink
P34252 pink
P26793 pink
P36005 pink
P06783 pink
P19145 pink
P36150 pink
P36156 pink
P23900 pink
Q12177 pink
Q12390 pink
Q12372 pink
Q12110 pink
Q12325 pink
Q12259 pink
Q12367 pink
Q12524 pink
P0CZ17 pink
P0CX77 pink
P0CX78 pink
P0CX79 pink
P80667 pink
Q05790 pink
Q05979 pink
P39931 pink
Q06147 pink
Q06216 pink
Q05902 pink
Q06159 pink
Q06169 pink
Q06143 pink
Q06485 pink
Q06696 pink
Q04969 pink
Q04636 pink
Q04201 pink
Q04359 pink
Q04212 pink
P07249 pink
P04710 pink
P42933 pink
P28519 pink
Q3E846 pink
Q04018 pink
Q04814 pink
Q03508 pink
P39113 pink
P32843 pink
P53904 pink
P53870 pink
P08465 pink
P53835 pink
P42883 pink
P53824 pink
Q08218 pink
P41912 pink
Q12322 pink
Q12512 pink
P54862 pink
P25036 pink
Q12289 pink
Q12219 pink
P41734 pink
P39083 pink
Q99297 pink
Q12276 pink
P51533 pink
P15380 pink
Q08907 pink
Q03028 pink
P22216 pink
Q08968 pink
P32867 pink
Q12188 pink
Q12531 pink
Q12432 pink
Q12350 pink
Q06810 pink
P30283 pink
Q06508 pink
Q06510 pink
Q06523 pink
P18408 pink
P32471 cyan
P00549 cyan
P39713 cyan
O13527 cyan
P35842 cyan
P33200 cyan
Q12490 cyan
Q12491 cyan
Q12193 cyan
P38219 cyan
P38074 cyan
P38079 cyan
P27654 cyan
P38084 cyan
P38085 cyan
P18238 cyan
P24031 cyan
P00635 cyan
P38330 cyan
P38143 cyan
P38361 cyan
P25384 cyan
P25376 cyan
P25379 cyan
P09007 cyan
P25619 cyan
P32903 cyan
Q00055 cyan
Q12140 cyan
Q12459 cyan
Q07351 cyan
Q12175 cyan
P48570 cyan
P09932 cyan
Q07738 cyan
P32568 cyan
P48015 cyan
Q12117 cyan
Q12472 cyan
P11353 cyan
Q12355 cyan
P38954 cyan
Q01589 cyan
P38966 cyan
Q03855 cyan
Q2V2P9 cyan
Q7LHD1 cyan
Q99231 cyan
Q03494 cyan
Q12151 cyan
Q07793 cyan
Q07791 cyan
P35198 cyan
Q05637 cyan
P0C2I2 cyan
P39004 cyan
P39003 cyan
P32466 cyan
Q06338 cyan
P0C2I3 cyan
Q12359 cyan
Q04178 cyan
Q04182 cyan
P34165 cyan
P11491 cyan
P32623 cyan
P39980 cyan
P39106 cyan
P10863 cyan
P40025 cyan
P40026 cyan
P40030 cyan
P40035 cyan
P00498 cyan
P17064 cyan
P40043 cyan
P40046 cyan
P40077 cyan
P39939 cyan
Q03612 cyan
Q03619 cyan
P0CX63 cyan
D6VTK4 cyan
P23337 cyan
P43623 cyan
P53189 cyan
P53032 cyan
P07244 cyan
P32804 cyan
Q12141 cyan
P53222 cyan
Q12269 cyan
P32338 cyan
P35180 cyan
P24868 cyan
P32582 cyan
P05374 cyan
Q12316 cyan
P0CX64 cyan
P53296 cyan
P49723 cyan
P53303 cyan
P17442 cyan
P39676 cyan
P53049 cyan
P23180 cyan
P38735 cyan
P38731 cyan
P38724 cyan
Q00772 cyan
P38777 cyan
P32467 cyan
P18562 cyan
P38839 cyan
P38844 cyan
P00925 cyan
O13535 cyan
P38693 cyan
P38697 cyan
P40552 cyan
P12630 cyan
P40528 cyan
P40185 cyan
P40522 cyan
P40495 cyan
P40489 cyan
P23250 cyan
P40474 cyan
P40442 cyan
P47075 cyan
P47072 cyan
P47031 cyan
P32477 cyan
P46956 cyan
P39533 cyan
P40896 cyan
P47098 cyan
P47100 cyan
P0CS90 cyan
P47120 cyan
P47175 cyan
P47176 cyan
P47178 cyan
P36093 cyan
P35735 cyan
P33749 cyan
P28319 cyan
P14064 cyan
P07149 cyan
P23501 cyan
P36143 cyan
Q02046 cyan
P0CD90 cyan
P0CD98 cyan
Q12088 cyan
P37291 cyan
P52893 cyan
P47977 cyan
P0C2I5 cyan
P32791 cyan
P0C2I6 cyan
Q01662 cyan
P27472 cyan
P23776 cyan
Q06177 cyan
Q06139 cyan
P35817 cyan
P0C2J3 cyan
Q06689 cyan
P50095 cyan
P25087 cyan
P15274 cyan
Q03434 cyan
Q04711 cyan
P12683 cyan
P25297 cyan
Q03674 cyan
P23585 cyan
P54781 cyan
Q04214 cyan
Q04670 cyan
P32488 cyan
P37012 cyan
P38009 cyan
P40215 cyan
P18899 cyan
Q04329 cyan
