	rab.all	rab.win.S	rab.win.W	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
HRA1	-3.95806551139797	-4.03242042717391	-2.75981121321997	0.712700290684495	2.3564421769902	0.289970201048346	0.41463850431674	0.819656058596084	0.917735413235763	0.641729797979798	0.856559562102837
ICR1	-1.00794776627778	-1.03365011515808	-0.935618336277925	0.0151927651393891	0.62753867576121	0.027939184480797	0.475001305059319	0.715770653669688	0.86203751104375	0.892992424242424	0.959940931992715
LSR1	-0.697324284816841	-0.706129505784803	-0.682623067122671	0.420592863319281	1.4006771003627	0.293869896930705	0.425003995233639	0.739195777597922	0.877981587353611	0.938289141414141	0.977814367271775
NME1	-3.98654096583101	-3.95671596920369	-4.08865324119954	-0.273760943522452	1.5526352255579	-0.183702320853697	0.375006942634908	0.725905584026014	0.856086306337316	0.698705808080808	0.857662851828504
NTS1-2	0.296488285306913	0.597666087905237	-0.930703160608036	-1.72912268961339	0.941100960533092	-2.16490877683342	0.00175147641157519	0.00149107704844806	0.0214353271615932	0.00252525252525253	0.0288760999853479
NTS2-1	1.77345532163549	1.60576366198478	1.8908115554215	0.364334734072782	0.478542687111771	0.481405799263729	0.268307305172865	0.398187362558605	0.652519397682531	0.247159090909091	0.514761964754336
NTS2-2	1.79045086453345	1.57544301073075	1.92983521171236	0.374175081805631	0.766355998478411	0.442893840764164	0.24391964199069	0.38123735871023	0.641056605248434	0.216856060606061	0.474299527584191
PWR1	-3.66491626337963	-3.77306997801671	-3.08000272294871	0.494416142690413	2.03100572756933	0.181217185613087	0.365860822647333	0.794349781891047	0.900731528218657	0.547348484848485	0.777525513753499
Q0045	-7.80901829827056	-7.55347007514842	-8.23004664103557	-1.34044485096027	4.3709503152508	-0.386989431842893	0.39024961754121	0.646175928133017	0.805256155413938	0.65530303030303	0.824762328030937
Q0085	-9.05974452993817	-8.86401963172366	-9.24944769098536	-0.863401549962439	3.83099903146935	-0.139168492837705	0.39024961754121	0.455480755393477	0.641796927059011	0.465751262626263	0.662653497121088
Q0105	-8.38644760270694	-8.4054185826383	-8.34437987267783	-0.30337938284221	4.32382064308626	-0.0699830534360655	0.475001305059319	0.515172694722544	0.720078983030755	0.602272727272727	0.793912417679649
Q0130	-7.66467193702453	-7.39233920438573	-7.96586166403024	-1.11200907106717	4.16656716059295	-0.223590238227929	0.341472149901524	0.465399019630514	0.66578654039898	0.465909090909091	0.683280670569544
Q0250	-8.27594794914064	-8.12567360096737	-8.72254588434389	-1.14219924227213	3.50458448962481	-0.276485089920382	0.317083637245523	0.387303443556917	0.613520510994269	0.424242424242424	0.654905826001597
Q0275	-8.35124120282775	-8.03506320358065	-8.83367331214024	-0.749226191631671	4.57662632528241	-0.120468740904569	0.439027457996833	0.578725467624041	0.738804055354624	0.642676767676768	0.781357546002321
RDN5-1	-2.66237415208003	-2.67190532630043	-2.66075535027506	0.129273062348542	2.01064056147787	0.0565766740891508	0.475001305059319	0.83875712319595	0.925949576127614	0.847222222222222	0.943296137820753
RDN5-2	-2.4718916910292	-2.35934128624405	-2.97415816677111	-0.552766221628239	1.44116066021896	-0.469742892620982	0.341472149901524	0.442311162260929	0.682557238484234	0.475694444444444	0.72533850655747
RDN5-3	-2.92564319143844	-2.70076197094671	-3.88623180479795	-1.23112131857417	1.95548543886428	-0.623573149042331	0.250017353084383	0.204888565274206	0.455218844577974	0.204229797979798	0.449665772182165
RDN5-4	-2.86655670914384	-2.7355121653785	-4.0107904133707	-1.39725652587921	1.84500987019103	-0.613012905471397	0.219532473904943	0.193952298485689	0.438586853710541	0.217329545454545	0.474621979318394
RDN5-5	-2.90531887982133	-2.44180750442145	-4.38738156031083	-2.05611414873509	2.02899818320238	-0.92025461663019	0.219532473904943	0.1276294328314	0.345927354327085	0.107954545454545	0.311141223507502
RDN5-6	-3.56616699126243	-3.14754034020977	-4.71226153676834	-1.61871139986565	2.30686729756616	-0.58367625388536	0.24391964199069	0.236896127066839	0.486414052972251	0.24447601010101	0.497876064307738
RNA170	-4.7083629316146	-4.47316837680309	-4.91725283134061	-0.545056217054451	1.37278506842654	-0.36526050884345	0.350008582743217	0.416469133534917	0.634319546188294	0.426294191919192	0.641203174148579
RPR1	-3.68272040035678	-4.09628372499159	-3.29621487958837	0.622248137352023	2.02451527339574	0.355563389882338	0.350008582743217	0.599126478192238	0.788422927936295	0.583175505050505	0.815773263244042
RUF20	-1.09520843959535	-1.17188332257214	-0.883762167529689	0.496837047331952	1.13416305139195	0.410637703401833	0.30001239648458	0.31751994075799	0.578441617711207	0.419823232323232	0.696035430608893
RUF21	-2.38402070384409	-3.05544399234315	-1.37114373202972	1.33562489549669	2.60000931889037	0.380644252044807	0.341472149901524	0.164072846841583	0.402165752583914	0.378156565656566	0.654133508642756
RUF23	-5.6058103074656	-5.6549948227773	-5.51239458085389	0.322189689973978	1.81334903565936	0.207839159953011	0.365860822647333	0.51702633960971	0.709160043312718	0.623737373737374	0.798842944190868
RUF5-1	2.25115890045211	2.15422863750314	2.67458644255433	0.670906692031526	0.622704000113426	0.785257034732476	0.15003570233448	0.123972149711076	0.340929982490464	0.0732323232323232	0.243869496970616
RUF5-2	2.20858173601303	2.09709529944633	2.67537359703901	0.710977421286764	0.742208005970244	0.811834555840216	0.175029285622464	0.12843206244525	0.348642880239751	0.0732323232323232	0.243869496970616
SCR1	-0.769810421208962	-0.721106082220706	-1.09316530209939	-0.753354755160931	2.18305241142608	-0.299057289256159	0.292695333794382	0.475716678486158	0.716705515281746	0.473011363636364	0.738935822032616
SRG1	-0.934523117866326	-2.11447647386807	-0.28427577609955	1.85549893080276	0.717924096918169	2.16356672887253	0.00175147641157519	0.00134612885853673	0.0200060874066856	0.00252525252525253	0.0288760999853479
ST15S_rRNA	-5.41100440479159	-5.44584100561383	-5.38930410885222	-0.522132913402676	3.02537544861152	-0.0989122919408099	0.439027457996833	0.474664440398839	0.694651961076219	0.759311868686869	0.890089953052573
ST21S_rRNA	-2.38702738791637	-2.39080844547762	-2.37805381005674	-0.104064522453407	1.99580290861911	-0.0530859601380797	0.475001305059319	0.851763231059848	0.933326700855056	0.855271464646465	0.946868103723491
TLC1	1.86495286602107	1.90625633198438	1.66845116079489	-0.108496204010092	0.639827868219437	-0.20346761426666	0.41463850431674	0.880206709372372	0.948337120590589	0.592329545454546	0.828733348648594
