	rab.all	rab.win.S	rab.win.W	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
HRA1	-3.5590533367271	-4.03222288699411	-3.12596327989444	0.828246664954376	0.874929372218372	0.941314828886512	0.121951903176759	2.19694663738457e-07	4.72704061049459e-07	1.6549249892074e-07	3.58354122085508e-07
ICR1	-0.895028606600923	-0.850523113260399	-0.935864913358754	-0.0983526835269366	0.36211117277338	-0.248684190846263	0.408536658664861	0.140747193110362	0.16323114717904	0.141298594623698	0.165028873653607
LSR1	-1.11996083124073	-1.15848337838057	-1.06475620101571	0.104025916668671	0.982997290202783	0.122500652899832	0.455927085868507	0.598795722093391	0.640776492936392	0.588126094121519	0.627922083425784
NME1	-3.84557622915322	-3.77466362135016	-3.94991244046391	-0.226412339948173	1.19501630651264	-0.158487586946227	0.42378054824799	0.245288969221236	0.2837074794381	0.357870645400237	0.396649398109796
NTS1-2	-1.05627586266842	0.606351465708233	-1.7094396833059	-2.37480183703577	0.435293558878596	-5.44580453450389	0.000213925045339387	6.29255369937617e-48	4.23789559524056e-46	1.21961180446199e-24	2.7044251213625e-23
NTS2-1	1.38010983528966	1.16983893969582	1.57665216361006	0.458169882060607	0.325811745448746	1.35664549042851	0.0729495436087765	3.04067062261247e-14	1.33638312785096e-13	2.52558342724935e-14	1.14130292161329e-13
NTS2-2	1.32585127338586	1.11888148663445	1.55107269192887	0.446633070758531	0.314234716115671	1.33788796382917	0.0640257989631925	5.91562857607473e-14	2.52866138427658e-13	3.19945002891761e-14	1.42711060046147e-13
PWR1	-3.55995154002655	-3.87242893637278	-3.24489922270164	0.625188914827215	0.904234867439726	0.618454198584842	0.243161362837986	0.000221989829822081	0.000376802840364772	0.000143182793119273	0.00024364474707881
Q0045	-8.03531283813331	-7.89555621505192	-8.17291761624871	-0.354289025210224	3.51974076952991	-0.0681289994985759	0.462006108448164	0.417325290439004	0.462238134665536	0.376879037995522	0.421112279154576
Q0085	-9.08966761364237	-9.08755665488442	-9.11419070316455	-0.03896192246446	4.12755681927576	-0.0131852745432095	0.492401221657009	0.50390400728467	0.543482917616042	0.571739219668601	0.611276220253331
Q0105	-9.16799541948005	-8.98675452173447	-9.31012151090271	-0.462099940925571	3.90377789053905	-0.0759768653658907	0.4481707722896	0.466303336997482	0.502146049422363	0.450633515900735	0.486359719030443
Q0130	-7.42617180519936	-7.04499502685483	-7.71288835615234	-0.660553030667645	3.3045482543515	-0.152946336035937	0.42378054824799	0.318462723249246	0.352933663650741	0.293021298823737	0.326947045545891
Q0250	-8.39490930603033	-8.36188596766623	-8.3998168129466	0.0485222536096037	4.0204977553836	0.0147284834236405	0.492401221657009	0.572253335071213	0.607523239730079	0.617268532954414	0.650087768584943
Q0255	-9.67734274386865	-9.82927645628401	-9.44631159010777	0.33896623820535	4.2438866226934	0.0590393829128578	0.469512218825508	0.39880288084567	0.432680138748002	0.369033364668214	0.406450798230768
Q0275	-8.75667322166017	-8.97805086541287	-8.52336563085616	0.258513769274053	4.14403389504408	0.0534364375018001	0.475609775034965	0.423147468247283	0.46446068083443	0.488213032339095	0.522438959914699
RDN5-1	-3.1024445910242	-2.94101871612021	-3.21849569858522	-0.304448537197695	1.77663311994361	-0.150383729220884	0.440729529564469	0.407059638763414	0.455127772888573	0.310812291037478	0.354875032836622
RDN5-2	-2.83239673222406	-2.57290348154034	-3.1850545587515	-0.597567230349939	1.59743709782399	-0.33679480182842	0.341463551159908	0.0212051380976945	0.0294807571757355	0.00693366444561309	0.0101981083719154
RDN5-3	-3.02441666164668	-2.6948986931929	-3.59655257922664	-0.82740336800481	1.75983008552706	-0.421080795622976	0.314024557427208	0.00785959129796109	0.0115193039449576	0.00364014139586823	0.00553837019677852
RDN5-4	-2.9737158028752	-2.67206009819948	-3.39285066458269	-0.79405028615211	1.59460863821583	-0.455320075589139	0.292683120753591	0.00759629483439874	0.0109796993503214	0.00200923950362826	0.00310477439473747
RDN5-5	-2.99502045072766	-2.70672513937753	-3.50476758276981	-0.790365646266252	1.61010071333495	-0.430935327670964	0.303951546135998	0.0100969183796041	0.0144964212754973	0.00311602910534667	0.00470888069665898
RDN5-6	-3.6772806604512	-3.54053488911767	-3.84445296265192	-0.449479600375301	2.23920990482484	-0.187454926863612	0.398176373577551	0.186486405107149	0.224249448146792	0.224295816804984	0.262579387618779
RNA170	-4.57295061293738	-4.22971973603626	-4.96644337657713	-0.641636028861926	1.27080127901402	-0.44938243936885	0.288753997365042	0.00357874996926652	0.00518518185820395	0.00260817706360869	0.00379315435154398
RPR1	-3.1901047779313	-3.87089369527443	-2.62406072494347	1.22843083668005	1.27061946484218	0.934600210041037	0.130699713743432	1.35233609712763e-09	3.80986720870835e-09	1.64695548138071e-09	4.61851314552351e-09
RUF20	-0.740972732796142	-0.606333899623736	-0.874273600055147	-0.314672254994884	0.671429757320066	-0.419772387623152	0.306991056072624	0.00192088985527724	0.00299471095249857	0.00436864092920693	0.00658742008826373
RUF21	-2.30244157915864	-2.12821284100521	-2.55118632770754	-0.501700276790156	1.96414343453355	-0.208875768558343	0.375000103278071	0.0157037433201825	0.0224086805959353	0.052954735942038	0.0701538487501079
RUF22	-9.57448538152398	-9.86621310098257	-9.33278138978742	0.462474172312908	4.33940522693357	0.111257062460716	0.443769040806407	0.376900911699374	0.409872310857053	0.404768008909849	0.435438112103529
RUF23	-6.36351538266436	-6.06455338986997	-6.80308275689771	-0.612169577521855	2.47343191583998	-0.209351242856504	0.371951325658642	0.0464724033223575	0.0602511339596216	0.0915519987436827	0.114167093296443
RUF5-1	2.35446411387375	2.22408745131429	2.53241015360272	0.311514795674103	0.313917523795781	0.937125423703519	0.152439545306287	3.04680439479337e-08	7.64754675221509e-08	3.3866810973568e-09	9.17136931894699e-09
RUF5-2	2.34923880539242	2.23366781620629	2.55663053424663	0.325938955567002	0.30510052145577	0.99344787072095	0.121581229079414	1.01254538272516e-08	2.65453408288767e-08	6.44213866162737e-10	1.86313581098537e-09
SCR1	-0.677534914254974	-0.983707309571927	-0.279788684176053	0.660263361682146	1.77055071616393	0.355660906168087	0.347561105786816	0.0848960997463065	0.109205839741619	0.0141528049003231	0.020322508841111
SRG1	-1.01893697134867	-1.49035350048195	-0.261691455808686	1.17616112330789	0.577141546738582	1.91133026768133	0.0273590404757299	4.42911398313035e-20	3.5341698733237e-19	7.55518870879875e-17	4.38607900222929e-16
ST15S_rRNA	-5.33134187099746	-5.80693252987085	-4.95723196126759	0.798086825945493	3.30498016006755	0.171623485207398	0.414634214449958	0.397491905962446	0.434678502474261	0.174456850802324	0.208895619989973
ST21S_rRNA	-2.65184052896527	-3.01494665149869	-2.22799053217326	0.660890766302172	1.9977659563175	0.303419367025437	0.347561105786816	0.093910770080274	0.119013274792835	0.0322599003794768	0.043731948989389
TLC1	2.0279103843733	2.13539938223337	1.89541566223684	-0.261876197109336	0.284659849768834	-0.878069647458489	0.155015704485304	7.41776127962326e-09	1.94063320776559e-08	2.12875018275565e-08	5.326464416837e-08
