	logFC	logCPM	F	PValue	FDR
HRA1	0.791807467826838	2.1691563757383	2.08852761210101	0.170336309021442	0.5048862556468
ICR1	-0.00130764030665957	4.42653897274764	3.04590868928357e-05	0.996288654522278	0.998580070479235
LSR1	-0.182191803696325	4.97063068153285	0.13885798206028	0.714978512832502	0.906027739559633
NME1	-0.218422952810341	1.87165117406638	0.166976087713886	0.688971667497058	0.893949021218219
NTS1-2	-2.16967122423203	6.25447242452135	20.5433188716684	0.000464745861915475	0.0077324740457036
NTS2-1	0.176052062296001	7.30001328443626	0.325843153890359	0.577131132939998	0.838996442029897
NTS2-2	0.191843665312414	7.29200932522541	0.389641369258379	0.542488638117222	0.820542161383252
PWR1	0.533253300322311	2.02358986833853	1.06311322508467	0.319924700593135	0.659424543318483
Q0045	-1.1272078720283	-0.0712518703995701	0.983158775943929	0.338185649124931	0.678741853131044
Q0085	-1.34175444353435	-0.824036544753363	1.12292294615478	0.30716309827119	0.653548339461093
Q0105	-1.04605075086618	-0.681525445551267	0.834169086372727	0.376472306603509	0.711953949491728
Q0130	-1.07344403367357	-0.229982636183582	0.957646105245296	0.344326485630289	0.685955953083433
Q0250	-0.388853282996697	-0.678705909126562	0.121495869871419	0.732584198056927	0.914620428888952
Q0275	-0.864485881574616	-0.72427745738061	0.58795394977539	0.455899649710984	0.77453241564729
RDN5-1	0.186886871683875	3.15304650888678	0.111943626347349	0.742882998229748	0.920409640050672
RDN5-2	-0.178163010542781	3.34512750472765	0.151593483355705	0.70285312746396	0.902152328653844
RDN5-3	-0.636057367259618	3.03374995671235	0.986341354556996	0.337430687350652	0.678400130217237
RDN5-4	-0.642495611403601	3.03561362398882	1.12858448024566	0.305992211417507	0.653094786640293
RDN5-5	-0.723524051682103	3.01423564784345	1.14674355514582	0.302278293480454	0.651436727782275
RDN5-6	-0.688051112668083	2.54542674687992	0.899290523866319	0.358994413784044	0.697985168414084
RNA170	-0.499699243819474	1.23652394147954	1.43332037838056	0.270414780776929	0.619488419897239
RPR1	0.692289256361995	2.32282329411006	1.26184636614444	0.280124936419461	0.631706161126153
RUF20	0.442109197500446	4.59269713716659	1.37799817414123	0.259952103470194	0.607440669240721
RUF21	0.510960539119872	3.89673103168173	0.399754937849682	0.537366699635371	0.819505858046039
RUF23	0.330916968691608	0.617948222704357	0.59029864298468	0.513151822980586	0.80552867369115
RUF5-1	0.718289649874228	7.78385626864897	7.12729407328475	0.0182629203983539	0.120702538862816
RUF5-2	0.706137316714516	7.77188785967728	7.47858931969072	0.0160770856005241	0.109642190370168
SCR1	-0.880293619322268	5.87519290505998	1.1289253332535	0.305921916681107	0.653094786640293
SRG1	1.51701409650173	4.53945479119103	24.0829620265727	0.000228516930934125	0.00462142970692437
ST15S_rRNA	-1.92818022711683	1.8839959449751	3.32433628293397	0.0895984377913987	0.349495854766449
ST21S_rRNA	-0.558926849127119	4.00536312768333	0.502620632909377	0.48994521047464	0.793890333212955
TLC1	0.011448643703899	7.34536010265281	0.00185770680021747	0.96622730878863	0.990650368138483
YAL001C	-0.407935099381525	5.99366863933717	7.90321931262643	0.100429434027928	0.375097691128513
YAL002W	0.159422772407498	5.75925841844647	0.53174696604112	0.510817307193742	0.804524308725453
YAL003W	0.836978264224814	9.8338849492447	4.43888218768956	0.0535735572578732	0.256343482145228
YAL005C	0.530921561649411	10.3800843493699	1.28116276710387	0.276626781039722	0.627740194028905
YAL007C	-0.0323087637255917	6.96538411883246	0.0103937281429832	0.920236961259794	0.979922886338071
YAL008W	-0.373967456422625	5.44816416830618	1.51220568093539	0.238992385692196	0.585545497673023
YAL009W	-0.000854338940371479	5.34546587908703	1.45772865808147e-05	0.997222593146822	0.998860109829665
YAL010C	0.1574947850692	5.53400639886667	0.440648891619397	0.517657487747103	0.806460498678583
YAL011W	-0.306288265140417	5.68394495927537	4.3651984432717	0.212207256810612	0.553809182408183
YAL012W	-0.469665640767484	9.58416433608785	4.59863540460569	0.192505617869554	0.530934259928106
YAL013W	-0.746346919961655	7.67733025332313	11.5322663062527	0.00799055814704511	0.0677450872412049
YAL014C	-0.619532219577891	7.32755621612353	10.9537308542732	0.0233540753670024	0.143320330803941
