	logFC	logCPM	F	PValue	FDR
HRA1	0.890132311196236	1.96979998091134	88.5913567084988	5.95935371804391e-15	2.64879043376492e-14
ICR1	-0.0568288507430428	4.43088499875386	1.77442222825146	0.313714937442372	0.367938000731734
LSR1	0.106326329545808	4.41383255103531	0.470718670073755	0.494465621372236	0.550721131430124
NME1	-0.173231712459839	1.79036320579044	1.32683418846812	0.252497978299962	0.303503737987387
NTS1-2	-2.29145296909419	5.19904481501675	1706.30700707278	2.74773162037136e-59	2.16896890944757e-57
NTS2-1	0.484271442621302	6.6971790247552	129.986613439377	5.26403402933909e-19	3.26307318160622e-18
NTS2-2	0.503241474991291	6.67481409296281	123.790647429413	1.88614520833521e-18	1.12879093274265e-17
PWR1	0.638708635013375	1.97895541008447	45.133754768245	1.76725089650826e-09	5.18371429474388e-09
Q0045	-0.604761319916904	-0.546053015154359	2.53833474166155	0.114707980384738	0.147884838883446
Q0085	-0.73551063699405	-1.04671399367696	2.99154412378269	0.0872165882674659	0.114767386460417
Q0105	-1.09464462535378	-1.06959709635723	7.60593074863524	0.00902540641323521	0.0138252111011876
Q0130	-0.405782388899282	-0.39024930614043	1.66740838901733	0.199997387491321	0.245315442249386
Q0250	-0.302928693825475	-0.766211347572035	0.626546435121491	0.430759459293569	0.48760500783349
Q0255	-0.627886481371502	-1.24071193370412	5.09116106353813	0.138394076987642	0.175304786531573
Q0275	0.142800305755518	-0.887545377799088	0.108487739641508	0.742657361266075	0.781375283424202
RDN5-1	-0.118823648001665	3.023341597671	0.195677217576306	0.659321372653513	0.704632061673918
RDN5-2	-0.387611999818784	3.13307568404274	2.48511637288858	0.118526495981841	0.15239819153459
RDN5-3	-0.429609513977989	3.00658762648702	2.50069307762341	0.117394266651721	0.151035825632377
RDN5-4	-0.424437830277337	3.06457624777995	2.73692179494625	0.101626486101124	0.132084778517426
RDN5-5	-0.429786056783121	3.0006628046833	2.80840480516075	0.0973315159095442	0.127058683946393
RDN5-6	-0.185000226442416	2.73696337486265	0.342071372705531	0.560136959771418	0.613041752464414
RNA170	-0.519240483818217	1.12394176097463	18.0403308792369	5.36499922555338e-05	0.000104812453541826
RPR1	1.2975115499274	2.57532430289018	59.8438561554964	1.62347314559362e-11	5.53828147479311e-11
RUF20	-0.273445567845407	4.58591256888302	8.30747674907479	0.00496362464736657	0.00787143255358083
RUF21	-0.291080966064001	3.17063439544317	1.71186480614215	0.194160441130461	0.239190934589008
